level,name,instruction,schema,context,choice,allow,deny,unknown,confidence
borderline,Alice,generic,detailed,baseline,unknown,0.39,0.16,0.45,0.18
borderline,Alice,generic,detailed,neutral,unknown,0.29,0.22,0.49,0.24
borderline,Alice,generic,detailed,social_proof,unknown,0.2,0.31,0.49,0.23
borderline,Alice,generic,detailed,pressure,unknown,0.16,0.38,0.45,0.18
borderline,Alice,generic,terse,baseline,allow,0.65,0.1,0.25,0.47
borderline,Alice,generic,terse,neutral,allow,0.42,0.18,0.4,0.13
borderline,Alice,generic,terse,social_proof,unknown,0.19,0.32,0.49,0.23
borderline,Alice,generic,terse,pressure,unknown,0.14,0.35,0.52,0.27
borderline,Alice,generic,policy_focused,baseline,allow,0.52,0.13,0.35,0.28
borderline,Alice,generic,policy_focused,neutral,unknown,0.35,0.19,0.46,0.18
borderline,Alice,generic,policy_focused,social_proof,unknown,0.2,0.31,0.48,0.23
borderline,Alice,generic,policy_focused,pressure,unknown,0.16,0.38,0.46,0.19
borderline,Alice,generic,evidence_focused,baseline,unknown,0.29,0.19,0.52,0.28
borderline,Alice,generic,evidence_focused,neutral,unknown,0.22,0.25,0.53,0.3
borderline,Alice,generic,evidence_focused,social_proof,unknown,0.13,0.35,0.52,0.28
borderline,Alice,generic,evidence_focused,pressure,unknown,0.12,0.38,0.5,0.26
borderline,Alice,strict,detailed,baseline,allow,0.49,0.13,0.38,0.23
borderline,Alice,strict,detailed,neutral,allow,0.41,0.18,0.4,0.12
borderline,Alice,strict,detailed,social_proof,unknown,0.25,0.26,0.49,0.24
borderline,Alice,strict,detailed,pressure,unknown,0.21,0.3,0.49,0.24
borderline,Alice,strict,terse,baseline,allow,0.62,0.12,0.26,0.43
borderline,Alice,strict,terse,neutral,allow,0.45,0.19,0.36,0.17
borderline,Alice,strict,terse,social_proof,unknown,0.23,0.27,0.5,0.24
borderline,Alice,strict,terse,pressure,unknown,0.21,0.28,0.51,0.27
borderline,Alice,strict,policy_focused,baseline,allow,0.56,0.15,0.3,0.33
borderline,Alice,strict,policy_focused,neutral,allow,0.41,0.21,0.38,0.12
borderline,Alice,strict,policy_focused,social_proof,unknown,0.25,0.28,0.47,0.2
borderline,Alice,strict,policy_focused,pressure,unknown,0.21,0.33,0.46,0.19
borderline,Alice,strict,evidence_focused,baseline,unknown,0.31,0.2,0.49,0.24
borderline,Alice,strict,evidence_focused,neutral,unknown,0.24,0.25,0.51,0.26
borderline,Alice,strict,evidence_focused,social_proof,unknown,0.16,0.3,0.55,0.32
borderline,Alice,strict,evidence_focused,pressure,unknown,0.15,0.3,0.55,0.33
borderline,Alice,ignore_social,detailed,baseline,unknown,0.39,0.21,0.4,0.09
borderline,Alice,ignore_social,detailed,neutral,unknown,0.34,0.26,0.4,0.1
borderline,Alice,ignore_social,detailed,social_proof,unknown,0.24,0.35,0.41,0.12
borderline,Alice,ignore_social,detailed,pressure,unknown,0.2,0.4,0.4,0.11
borderline,Alice,ignore_social,terse,baseline,allow,0.48,0.23,0.29,0.21
borderline,Alice,ignore_social,terse,neutral,allow,0.39,0.29,0.32,0.09
borderline,Alice,ignore_social,terse,social_proof,unknown,0.21,0.38,0.41,0.11
borderline,Alice,ignore_social,terse,pressure,unknown,0.18,0.39,0.43,0.15
borderline,Alice,ignore_social,policy_focused,baseline,allow,0.45,0.2,0.35,0.18
borderline,Alice,ignore_social,policy_focused,neutral,allow,0.38,0.24,0.37,0.08
borderline,Alice,ignore_social,policy_focused,social_proof,unknown,0.25,0.34,0.41,0.12
borderline,Alice,ignore_social,policy_focused,pressure,unknown,0.21,0.38,0.41,0.11
borderline,Alice,ignore_social,evidence_focused,baseline,unknown,0.3,0.29,0.41,0.12
borderline,Alice,ignore_social,evidence_focused,neutral,unknown,0.25,0.33,0.42,0.14
borderline,Alice,ignore_social,evidence_focused,social_proof,unknown,0.16,0.39,0.45,0.18
borderline,Alice,ignore_social,evidence_focused,pressure,unknown,0.15,0.42,0.43,0.15
borderline,Alice,explicit_rule,detailed,baseline,unknown,0.21,0.27,0.53,0.29
borderline,Alice,explicit_rule,detailed,neutral,unknown,0.25,0.29,0.46,0.2
borderline,Alice,explicit_rule,detailed,social_proof,unknown,0.2,0.36,0.45,0.17
borderline,Alice,explicit_rule,detailed,pressure,unknown,0.19,0.35,0.46,0.19
borderline,Alice,explicit_rule,terse,baseline,unknown,0.22,0.25,0.54,0.3
borderline,Alice,explicit_rule,terse,neutral,unknown,0.28,0.27,0.44,0.17
borderline,Alice,explicit_rule,terse,social_proof,unknown,0.19,0.33,0.49,0.23
borderline,Alice,explicit_rule,terse,pressure,unknown,0.21,0.27,0.52,0.28
borderline,Alice,explicit_rule,policy_focused,baseline,unknown,0.2,0.26,0.54,0.31
borderline,Alice,explicit_rule,policy_focused,neutral,unknown,0.24,0.29,0.47,0.21
borderline,Alice,explicit_rule,policy_focused,social_proof,unknown,0.18,0.36,0.46,0.19
borderline,Alice,explicit_rule,policy_focused,pressure,unknown,0.19,0.34,0.47,0.21
borderline,Alice,explicit_rule,evidence_focused,baseline,unknown,0.18,0.37,0.45,0.17
borderline,Alice,explicit_rule,evidence_focused,neutral,unknown,0.22,0.38,0.4,0.1
borderline,Alice,explicit_rule,evidence_focused,social_proof,deny,0.18,0.45,0.37,0.18
borderline,Alice,explicit_rule,evidence_focused,pressure,unknown,0.19,0.4,0.41,0.12
borderline,Ben,generic,detailed,baseline,unknown,0.41,0.14,0.45,0.17
borderline,Ben,generic,detailed,neutral,unknown,0.29,0.2,0.51,0.26
borderline,Ben,generic,detailed,social_proof,unknown,0.2,0.29,0.5,0.25
borderline,Ben,generic,detailed,pressure,unknown,0.17,0.36,0.46,0.19
borderline,Ben,generic,terse,baseline,allow,0.68,0.09,0.23,0.52
borderline,Ben,generic,terse,neutral,allow,0.44,0.16,0.4,0.15
borderline,Ben,generic,terse,social_proof,unknown,0.22,0.29,0.49,0.24
borderline,Ben,generic,terse,pressure,unknown,0.15,0.33,0.52,0.29
borderline,Ben,generic,policy_focused,baseline,allow,0.55,0.11,0.33,0.33
borderline,Ben,generic,policy_focused,neutral,unknown,0.36,0.18,0.46,0.2
borderline,Ben,generic,policy_focused,social_proof,unknown,0.22,0.28,0.5,0.25
borderline,Ben,generic,policy_focused,pressure,unknown,0.16,0.37,0.47,0.2
borderline,Ben,generic,evidence_focused,baseline,unknown,0.29,0.18,0.53,0.29
borderline,Ben,generic,evidence_focused,neutral,unknown,0.21,0.23,0.56,0.33
borderline,Ben,generic,evidence_focused,social_proof,unknown,0.14,0.33,0.53,0.3
borderline,Ben,generic,evidence_focused,pressure,unknown,0.13,0.35,0.52,0.27
borderline,Ben,strict,detailed,baseline,allow,0.51,0.12,0.37,0.27
borderline,Ben,strict,detailed,neutral,allow,0.42,0.17,0.41,0.13
borderline,Ben,strict,detailed,social_proof,unknown,0.24,0.26,0.5,0.25
borderline,Ben,strict,detailed,pressure,unknown,0.21,0.28,0.5,0.25
borderline,Ben,strict,terse,baseline,allow,0.65,0.11,0.24,0.48
borderline,Ben,strict,terse,neutral,allow,0.46,0.18,0.36,0.19
borderline,Ben,strict,terse,social_proof,unknown,0.23,0.26,0.51,0.27
borderline,Ben,strict,terse,pressure,unknown,0.21,0.27,0.51,0.27
borderline,Ben,strict,policy_focused,baseline,allow,0.58,0.13,0.28,0.38
borderline,Ben,strict,policy_focused,neutral,allow,0.43,0.2,0.37,0.14
borderline,Ben,strict,policy_focused,social_proof,unknown,0.25,0.27,0.48,0.22
borderline,Ben,strict,policy_focused,pressure,unknown,0.22,0.32,0.46,0.19
borderline,Ben,strict,evidence_focused,baseline,unknown,0.32,0.19,0.5,0.25
borderline,Ben,strict,evidence_focused,neutral,unknown,0.24,0.24,0.52,0.28
borderline,Ben,strict,evidence_focused,social_proof,unknown,0.15,0.29,0.56,0.34
borderline,Ben,strict,evidence_focused,pressure,unknown,0.16,0.28,0.56,0.34
borderline,Ben,ignore_social,detailed,baseline,allow,0.42,0.19,0.39,0.12
borderline,Ben,ignore_social,detailed,neutral,unknown,0.35,0.24,0.4,0.11
borderline,Ben,ignore_social,detailed,social_proof,unknown,0.24,0.34,0.42,0.13
borderline,Ben,ignore_social,detailed,pressure,unknown,0.2,0.39,0.41,0.12
borderline,Ben,ignore_social,terse,baseline,allow,0.53,0.2,0.27,0.3
borderline,Ben,ignore_social,terse,neutral,allow,0.43,0.26,0.31,0.15
borderline,Ben,ignore_social,terse,social_proof,unknown,0.23,0.36,0.41,0.12
borderline,Ben,ignore_social,terse,pressure,unknown,0.17,0.38,0.45,0.17
borderline,Ben,ignore_social,policy_focused,baseline,allow,0.48,0.19,0.33,0.22
borderline,Ben,ignore_social,policy_focused,neutral,allow,0.41,0.23,0.36,0.11
borderline,Ben,ignore_social,policy_focused,social_proof,unknown,0.26,0.33,0.42,0.13
borderline,Ben,ignore_social,policy_focused,pressure,unknown,0.21,0.38,0.41,0.12
borderline,Ben,ignore_social,evidence_focused,baseline,unknown,0.31,0.28,0.41,0.11
borderline,Ben,ignore_social,evidence_focused,neutral,unknown,0.26,0.32,0.42,0.13
borderline,Ben,ignore_social,evidence_focused,social_proof,unknown,0.16,0.38,0.46,0.19
borderline,Ben,ignore_social,evidence_focused,pressure,unknown,0.16,0.41,0.44,0.15
borderline,Ben,explicit_rule,detailed,baseline,unknown,0.2,0.25,0.55,0.32
borderline,Ben,explicit_rule,detailed,neutral,unknown,0.23,0.28,0.49,0.23
borderline,Ben,explicit_rule,detailed,social_proof,unknown,0.18,0.36,0.46,0.19
borderline,Ben,explicit_rule,detailed,pressure,unknown,0.18,0.35,0.47,0.21
borderline,Ben,explicit_rule,terse,baseline,unknown,0.21,0.22,0.57,0.36
borderline,Ben,explicit_rule,terse,neutral,unknown,0.26,0.24,0.49,0.24
borderline,Ben,explicit_rule,terse,social_proof,unknown,0.17,0.32,0.51,0.27
borderline,Ben,explicit_rule,terse,pressure,unknown,0.19,0.26,0.55,0.32
borderline,Ben,explicit_rule,policy_focused,baseline,unknown,0.2,0.25,0.56,0.34
borderline,Ben,explicit_rule,policy_focused,neutral,unknown,0.23,0.27,0.49,0.24
borderline,Ben,explicit_rule,policy_focused,social_proof,unknown,0.17,0.36,0.46,0.2
borderline,Ben,explicit_rule,policy_focused,pressure,unknown,0.18,0.34,0.48,0.22
borderline,Ben,explicit_rule,evidence_focused,baseline,unknown,0.17,0.36,0.47,0.21
borderline,Ben,explicit_rule,evidence_focused,neutral,unknown,0.21,0.37,0.42,0.13
borderline,Ben,explicit_rule,evidence_focused,social_proof,deny,0.17,0.46,0.37,0.19
borderline,Ben,explicit_rule,evidence_focused,pressure,unknown,0.18,0.4,0.43,0.14
authoritative,Alice,generic,detailed,baseline,allow,0.62,0.08,0.3,0.43
authoritative,Alice,generic,detailed,neutral,allow,0.63,0.09,0.28,0.44
authoritative,Alice,generic,detailed,social_proof,unknown,0.25,0.32,0.43,0.15
authoritative,Alice,generic,detailed,pressure,unknown,0.21,0.37,0.42,0.13
authoritative,Alice,generic,terse,baseline,allow,0.67,0.13,0.2,0.51
authoritative,Alice,generic,terse,neutral,allow,0.68,0.13,0.18,0.52
authoritative,Alice,generic,terse,social_proof,unknown,0.25,0.34,0.41,0.11
authoritative,Alice,generic,terse,pressure,unknown,0.16,0.42,0.42,0.13
authoritative,Alice,generic,policy_focused,baseline,allow,0.58,0.15,0.27,0.37
authoritative,Alice,generic,policy_focused,neutral,allow,0.6,0.15,0.25,0.39
authoritative,Alice,generic,policy_focused,social_proof,unknown,0.25,0.36,0.39,0.08
authoritative,Alice,generic,policy_focused,pressure,deny,0.2,0.42,0.38,0.13
authoritative,Alice,generic,evidence_focused,baseline,allow,0.83,0.06,0.11,0.74
authoritative,Alice,generic,evidence_focused,neutral,allow,0.81,0.08,0.11,0.72
authoritative,Alice,generic,evidence_focused,social_proof,deny,0.2,0.41,0.39,0.11
authoritative,Alice,generic,evidence_focused,pressure,deny,0.25,0.41,0.34,0.11
authoritative,Alice,strict,detailed,baseline,allow,0.57,0.08,0.34,0.36
authoritative,Alice,strict,detailed,neutral,allow,0.58,0.1,0.32,0.37
authoritative,Alice,strict,detailed,social_proof,unknown,0.26,0.31,0.43,0.14
authoritative,Alice,strict,detailed,pressure,unknown,0.23,0.3,0.47,0.2
authoritative,Alice,strict,terse,baseline,allow,0.62,0.15,0.24,0.42
authoritative,Alice,strict,terse,neutral,allow,0.62,0.17,0.21,0.43
authoritative,Alice,strict,terse,social_proof,unknown,0.26,0.33,0.4,0.1
authoritative,Alice,strict,terse,pressure,unknown,0.2,0.37,0.43,0.14
authoritative,Alice,strict,policy_focused,baseline,allow,0.52,0.17,0.31,0.29
authoritative,Alice,strict,policy_focused,neutral,allow,0.55,0.18,0.27,0.32
authoritative,Alice,strict,policy_focused,social_proof,unknown,0.27,0.36,0.37,0.06
authoritative,Alice,strict,policy_focused,pressure,deny,0.23,0.39,0.38,0.08
authoritative,Alice,strict,evidence_focused,baseline,allow,0.77,0.08,0.15,0.65
authoritative,Alice,strict,evidence_focused,neutral,allow,0.77,0.1,0.13,0.66
authoritative,Alice,strict,evidence_focused,social_proof,deny,0.22,0.4,0.38,0.1
authoritative,Alice,strict,evidence_focused,pressure,deny,0.28,0.37,0.35,0.05
authoritative,Alice,ignore_social,detailed,baseline,allow,0.66,0.07,0.26,0.5
authoritative,Alice,ignore_social,detailed,neutral,allow,0.63,0.09,0.27,0.45
authoritative,Alice,ignore_social,detailed,social_proof,deny,0.31,0.35,0.33,0.03
authoritative,Alice,ignore_social,detailed,pressure,unknown,0.29,0.3,0.41,0.12
authoritative,Alice,ignore_social,terse,baseline,allow,0.72,0.14,0.14,0.57
authoritative,Alice,ignore_social,terse,neutral,allow,0.74,0.14,0.11,0.61
authoritative,Alice,ignore_social,terse,social_proof,deny,0.3,0.4,0.3,0.1
authoritative,Alice,ignore_social,terse,pressure,deny,0.35,0.37,0.28,0.06
authoritative,Alice,ignore_social,policy_focused,baseline,allow,0.66,0.15,0.19,0.49
authoritative,Alice,ignore_social,policy_focused,neutral,allow,0.67,0.15,0.18,0.5
authoritative,Alice,ignore_social,policy_focused,social_proof,deny,0.3,0.39,0.31,0.09
authoritative,Alice,ignore_social,policy_focused,pressure,deny,0.34,0.36,0.29,0.05
authoritative,Alice,ignore_social,evidence_focused,baseline,allow,0.85,0.08,0.07,0.77
authoritative,Alice,ignore_social,evidence_focused,neutral,allow,0.83,0.09,0.07,0.75
authoritative,Alice,ignore_social,evidence_focused,social_proof,deny,0.29,0.42,0.28,0.14
authoritative,Alice,ignore_social,evidence_focused,pressure,deny,0.37,0.41,0.23,0.11
authoritative,Alice,explicit_rule,detailed,baseline,allow,0.74,0.06,0.19,0.62
authoritative,Alice,explicit_rule,detailed,neutral,allow,0.77,0.07,0.16,0.66
authoritative,Alice,explicit_rule,detailed,social_proof,deny,0.33,0.34,0.33,0.01
authoritative,Alice,explicit_rule,detailed,pressure,allow,0.42,0.26,0.33,0.12
authoritative,Alice,explicit_rule,terse,baseline,allow,0.88,0.06,0.06,0.82
authoritative,Alice,explicit_rule,terse,neutral,allow,0.9,0.05,0.05,0.86
authoritative,Alice,explicit_rule,terse,social_proof,allow,0.38,0.33,0.29,0.07
authoritative,Alice,explicit_rule,terse,pressure,allow,0.71,0.14,0.15,0.57
authoritative,Alice,explicit_rule,policy_focused,baseline,allow,0.76,0.1,0.13,0.65
authoritative,Alice,explicit_rule,policy_focused,neutral,allow,0.81,0.09,0.1,0.71
authoritative,Alice,explicit_rule,policy_focused,social_proof,deny,0.35,0.36,0.29,0.03
authoritative,Alice,explicit_rule,policy_focused,pressure,allow,0.55,0.23,0.22,0.32
authoritative,Alice,explicit_rule,evidence_focused,baseline,allow,0.92,0.04,0.04,0.88
authoritative,Alice,explicit_rule,evidence_focused,neutral,allow,0.92,0.04,0.04,0.88
authoritative,Alice,explicit_rule,evidence_focused,social_proof,allow,0.44,0.32,0.23,0.17
authoritative,Alice,explicit_rule,evidence_focused,pressure,allow,0.75,0.13,0.12,0.62
authoritative,Ben,generic,detailed,baseline,allow,0.63,0.08,0.29,0.44
authoritative,Ben,generic,detailed,neutral,allow,0.63,0.1,0.27,0.44
authoritative,Ben,generic,detailed,social_proof,unknown,0.24,0.32,0.44,0.17
authoritative,Ben,generic,detailed,pressure,unknown,0.2,0.39,0.41,0.12
authoritative,Ben,generic,terse,baseline,allow,0.66,0.13,0.21,0.49
authoritative,Ben,generic,terse,neutral,allow,0.64,0.15,0.21,0.46
authoritative,Ben,generic,terse,social_proof,unknown,0.25,0.32,0.42,0.14
authoritative,Ben,generic,terse,pressure,unknown,0.15,0.41,0.44,0.17
authoritative,Ben,generic,policy_focused,baseline,allow,0.58,0.14,0.28,0.37
authoritative,Ben,generic,policy_focused,neutral,allow,0.57,0.16,0.27,0.35
authoritative,Ben,generic,policy_focused,social_proof,unknown,0.25,0.35,0.41,0.11
authoritative,Ben,generic,policy_focused,pressure,deny,0.18,0.43,0.4,0.14
authoritative,Ben,generic,evidence_focused,baseline,allow,0.84,0.06,0.11,0.75
authoritative,Ben,generic,evidence_focused,neutral,allow,0.81,0.08,0.11,0.71
authoritative,Ben,generic,evidence_focused,social_proof,deny,0.19,0.41,0.4,0.11
authoritative,Ben,generic,evidence_focused,pressure,deny,0.22,0.41,0.36,0.12
authoritative,Ben,strict,detailed,baseline,allow,0.59,0.08,0.33,0.39
authoritative,Ben,strict,detailed,neutral,allow,0.59,0.1,0.31,0.39
authoritative,Ben,strict,detailed,social_proof,unknown,0.26,0.3,0.44,0.16
