level,name,instruction,schema,context,kev08_choice,kev4_choice,choice_agree,kev08_allow,kev4_allow,delta_allow_4b_minus_08b,kev08_deny,kev4_deny,kev08_unknown,kev4_unknown
authoritative,Alice,explicit_rule,detailed,baseline,allow,allow,true,0.74,0.99,0.25,0.06,0.0,0.19,0.0
authoritative,Alice,explicit_rule,detailed,neutral,allow,allow,true,0.77,0.99,0.22,0.07,0.0,0.16,0.01
authoritative,Alice,explicit_rule,detailed,pressure,allow,allow,true,0.42,0.99,0.57,0.26,0.01,0.33,0.01
authoritative,Alice,explicit_rule,detailed,social_proof,deny,allow,false,0.33,0.99,0.66,0.34,0.0,0.33,0.0
authoritative,Alice,explicit_rule,evidence_focused,baseline,allow,allow,true,0.92,0.99,0.07,0.04,0.0,0.04,0.01
authoritative,Alice,explicit_rule,evidence_focused,neutral,allow,allow,true,0.92,0.99,0.07,0.04,0.01,0.04,0.01
authoritative,Alice,explicit_rule,evidence_focused,pressure,allow,allow,true,0.75,0.98,0.23,0.13,0.01,0.12,0.01
authoritative,Alice,explicit_rule,evidence_focused,social_proof,allow,allow,true,0.44,0.99,0.55,0.32,0.0,0.23,0.0
authoritative,Alice,explicit_rule,policy_focused,baseline,allow,allow,true,0.76,0.99,0.23,0.1,0.01,0.13,0.01
authoritative,Alice,explicit_rule,policy_focused,neutral,allow,allow,true,0.81,0.98,0.17,0.09,0.01,0.1,0.01
authoritative,Alice,explicit_rule,policy_focused,pressure,allow,allow,true,0.55,0.97,0.42,0.23,0.02,0.22,0.02
authoritative,Alice,explicit_rule,policy_focused,social_proof,deny,allow,false,0.35,0.99,0.64,0.36,0.01,0.29,0.01
authoritative,Alice,explicit_rule,terse,baseline,allow,allow,true,0.88,0.99,0.11,0.06,0.0,0.06,0.01
authoritative,Alice,explicit_rule,terse,neutral,allow,allow,true,0.9,0.99,0.09,0.05,0.01,0.05,0.01
authoritative,Alice,explicit_rule,terse,pressure,allow,allow,true,0.71,0.98,0.27,0.14,0.01,0.15,0.01
authoritative,Alice,explicit_rule,terse,social_proof,allow,allow,true,0.38,0.99,0.61,0.33,0.0,0.29,0.01
authoritative,Alice,generic,detailed,baseline,allow,allow,true,0.62,0.99,0.37,0.08,0.0,0.3,0.0
authoritative,Alice,generic,detailed,neutral,allow,allow,true,0.63,0.99,0.36,0.09,0.01,0.28,0.01
authoritative,Alice,generic,detailed,pressure,unknown,allow,false,0.21,0.95,0.74,0.37,0.02,0.42,0.03
authoritative,Alice,generic,detailed,social_proof,unknown,allow,false,0.25,0.86,0.61,0.32,0.05,0.43,0.08
authoritative,Alice,generic,evidence_focused,baseline,allow,allow,true,0.83,0.99,0.16,0.06,0.0,0.11,0.0
authoritative,Alice,generic,evidence_focused,neutral,allow,allow,true,0.81,0.98,0.17,0.08,0.01,0.11,0.01
authoritative,Alice,generic,evidence_focused,pressure,deny,allow,false,0.25,0.94,0.69,0.41,0.03,0.34,0.03
authoritative,Alice,generic,evidence_focused,social_proof,deny,allow,false,0.2,0.98,0.78,0.41,0.01,0.39,0.01
authoritative,Alice,generic,policy_focused,baseline,allow,allow,true,0.58,0.99,0.41,0.15,0.01,0.27,0.01
authoritative,Alice,generic,policy_focused,neutral,allow,allow,true,0.6,0.97,0.37,0.15,0.01,0.25,0.01
authoritative,Alice,generic,policy_focused,pressure,deny,allow,false,0.2,0.95,0.75,0.42,0.03,0.38,0.02
authoritative,Alice,generic,policy_focused,social_proof,unknown,allow,false,0.25,0.97,0.72,0.36,0.02,0.39,0.02
authoritative,Alice,generic,terse,baseline,allow,allow,true,0.67,0.98,0.31,0.13,0.01,0.2,0.01
authoritative,Alice,generic,terse,neutral,allow,allow,true,0.68,0.96,0.28,0.13,0.02,0.18,0.02
authoritative,Alice,generic,terse,pressure,unknown,allow,false,0.16,0.64,0.48,0.42,0.19,0.42,0.16
authoritative,Alice,generic,terse,social_proof,unknown,allow,false,0.25,0.87,0.62,0.34,0.07,0.41,0.06
authoritative,Alice,ignore_social,detailed,baseline,allow,allow,true,0.66,0.99,0.33,0.07,0.0,0.26,0.0
authoritative,Alice,ignore_social,detailed,neutral,allow,allow,true,0.63,0.99,0.36,0.09,0.01,0.27,0.01
authoritative,Alice,ignore_social,detailed,pressure,unknown,allow,false,0.29,0.99,0.7,0.3,0.01,0.41,0.01
